Date,Count
25-Aug-16,2
25-Aug-16,1
25-Aug-16,6
25-Aug-16,5
25-Aug-16,56
25-Aug-16,157
25-Aug-16,3
25-Aug-16,12
25-Aug-16,1
25-Aug-16,74
25-Aug-16,4
25-Aug-16,1
25-Aug-16,77
25-Aug-16,18
25-Aug-16,33
25-Aug-16,109
25-Aug-16,1
25-Aug-16,84
25-Aug-16,320
25-Aug-16,2824
25-Aug-16,1
25-Aug-16,18
25-Aug-16,253
25-Aug-16,6
25-Aug-16,1
25-Aug-16,87
25-Aug-16,6
25-Aug-16,14
25-Aug-16,1
25-Aug-16,2
25-Aug-16,10
25-Aug-16,6
25-Aug-16,8
25-Aug-16,4
25-Aug-16,5
25-Aug-16,3
25-Aug-16,53
25-Aug-16,20
25-Aug-16,50
25-Aug-16,621
25-Aug-16,3
25-Aug-16,4
25-Aug-16,16
25-Aug-16,4
25-Aug-16,5
25-Aug-16,3
25-Aug-16,21
25-Aug-16,1
25-Aug-16,37
25-Aug-16,2
25-Aug-16,5
25-Aug-16,1
25-Aug-16,57
25-Aug-16,6
25-Aug-16,1014
25-Aug-16,1
25-Aug-16,15
25-Aug-16,107
25-Aug-16,16
25-Aug-16,1
25-Aug-16,157
25-Aug-16,57
25-Aug-16,3
25-Aug-16,1
25-Aug-16,47
25-Aug-16,40
25-Aug-16,18
25-Aug-16,1
25-Aug-16,192
25-Aug-16,279
25-Aug-16,28
25-Aug-16,192
25-Aug-16,645
25-Aug-16,30
25-Aug-16,15
25-Aug-16,11
25-Aug-16,3
25-Aug-16,7
25-Aug-16,1
25-Aug-16,63
25-Aug-16,2
25-Aug-16,518
25-Aug-16,1
24-Aug-16,5
24-Aug-16,3
24-Aug-16,30
24-Aug-16,15
24-Aug-16,3
24-Aug-16,1
24-Aug-16,8
24-Aug-16,3152
24-Aug-16,3
24-Aug-16,2
24-Aug-16,140
24-Aug-16,91
24-Aug-16,7
24-Aug-16,36
24-Aug-16,290
24-Aug-16,170
24-Aug-16,2
24-Aug-16,3
24-Aug-16,4
24-Aug-16,1
24-Aug-16,44
24-Aug-16,27
24-Aug-16,52
24-Aug-16,4
24-Aug-16,1
